Item,Task Domain,Question,Option A,Option B,Option C,Option D,Correct Answer,Notes
Q11,Task 4 — Management,"In a patient with this disease, stage 3 CKD, and persistent proteinuria, a cornerstone of renal protection — independent of disease-specific therapy — is:",A high-dose loop diuretic such as furosemide to control chronic fluid overload,Chronic empiric oral corticosteroids to slow progressive glomerular injury over time,An ACE inhibitor or angiotensin receptor blocker titrated to reduce proteinuria,A calcineurin inhibitor such as tacrolimus to suppress ongoing glomerular inflammation,C,General nephrology + Fabry-specific recommendation.
Q12,Task 5 — Patient Instructions,You are counseling a male patient with this disease about implications for his future children. Which of the following statements is most accurate?,"Each of his children, regardless of sex, has a 50% chance of inheriting the mutation",Only his sons are at risk; his daughters cannot inherit the mutation,None of his children are at increased risk because the disease typically arises de novo,All of his daughters will inherit the mutation; none of his sons will inherit it,D,"Hemizygous male: all daughters inherit the X, no sons. Naive trap: autosomal dominant 50/50."
Q15,Mechanism — Neurology,The neuropathic pain experienced in Fabry disease is most directly related to:,Deposition of glycosphingolipids within small nerve fibers,Immune-mediated demyelination of the peripheral sensory nerves,Entrapment and compression neuropathy from soft-tissue edema,Autoimmune small-vessel vasculitis affecting the peripheral nerves,A,Small-fiber deposition; distractors are other neuropathy mechanisms.
Q16,Mechanism — Cardiac,Which mechanism most likely explains the development of left ventricular hypertrophy in Fabry disease?,"Chronic, poorly controlled systemic arterial hypertension",Coronary vasospasm causing recurrent ischemia and fibrosis,Recurrent viral myocarditis with inflammatory remodeling,Glycosphingolipid accumulation within the cardiomyocytes,D,"Storage cardiomyopathy, not pressure-overload LVH."
Q19,Mechanism — Renal,Proteinuria in Fabry disease most directly reflects injury to which renal structure?,Distal tubules,Collecting ducts,Renal arteries,Podocytes,D,Podocyte injury drives proteinuria.
Q21,Management — Rationale,The primary rationale for initiating disease-specific therapy early in Fabry disease is to:,Reverse all of the organ damage that has already accumulated,Eliminate the risk of transmitting the disease to offspring,Prevent irreversible organ fibrosis and loss of function,Restore a normal life expectancy in essentially all patients,C,Therapy halts progression; cannot reverse established fibrosis.
Q22,Recognition / Diagnosis,Which patient presentation should most strongly prompt consideration of Fabry disease?,"Young man with proteinuric CKD, lifelong burning pain in the hands and feet, and a maternal uncle on dialysis","Young woman with proteinuria, a photosensitive facial rash, and inflammatory polyarthralgia of the hands","Young man with persistent hematuria, progressive sensorineural hearing loss, and a family history of kidney failure","Young adult with episodic flank pain, gross hematuria, and numerous bilateral renal cysts seen on imaging",A,Multisystem young-patient pattern.
Q23,Cardiac — Advanced,"Beyond left ventricular hypertrophy, which of the following is another characteristic cardiac manifestation of Fabry disease?",Recurrent paroxysmal supraventricular tachycardia arising from a congenital accessory pathway,"Progressive conduction disease and arrhythmias, such as AV block and atrial fibrillation",Congenital long-QT syndrome that predisposes the patient to torsades de pointes,Pulmonary arterial hypertension that leads to progressive right heart failure,B,Conduction disease drives device therapy. (Added 2026-05-29.)
Q24,Workup / Monitoring,"In a patient on enzyme replacement therapy for Fabry disease, which blood test best reflects biochemical disease activity and treatment response over time?",Plasma globotriaosylceramide (Gb3) concentration,Plasma globotriaosylsphingosine (lyso-Gb3),Leukocyte alpha-galactosidase A enzyme activity,A 24-hour urine protein-to-creatinine ratio,B,lyso-Gb3 tracks disease activity/response. (Added 2026-05-29.)
Q25,Neurology — Advanced,"Patients with Fabry disease are at markedly increased risk of stroke, often at a young age. Which stroke pattern is most characteristic?",Large-artery cardioembolic stroke as the single predominant mechanism,Lobar intracerebral hemorrhage caused by underlying cerebral amyloid angiopathy,Small-vessel ischemic stroke with a predilection for the posterior circulation,Subarachnoid hemorrhage from the rupture of a berry (saccular) aneurysm in the circle of Willis,C,Posterior-circulation small-vessel disease. (Added 2026-05-29.)
Q26,Autonomic — Advanced,A young man with Fabry disease reports that he cannot tolerate hot weather or exercise and rarely sweats. The most likely explanation is:,An anticholinergic adverse effect of one of his current medications,Primary hypothalamic thermoregulatory dysfunction of central origin,Physical deconditioning and reduced cardiac output from his cardiomyopathy,Fabry-related small-fiber and autonomic dysfunction that impairs sweating,D,Hypohidrosis from small-fiber/autonomic involvement. (Added 2026-05-29.)
Q27,Management — Advanced,A patient with Fabry disease reaches end-stage kidney disease and receives a kidney transplant. Which statement is most accurate?,"The graft is largely spared, but cardiac and cerebrovascular disease keep progressing",The graft re-accumulates glycosphingolipid and predictably fails within the first year,Transplantation corrects the enzyme deficiency systemically and halts disease elsewhere,A living related-donor graft is strongly preferred because relatives resist recurrence,A,Graft spared; systemic disease continues. (Added 2026-05-29.)
Q13,Post-test comfort (not graded),How comfortable would you be taking care of a patient with Fabry disease?,0–10 scale (0 = Not at all comfortable),,,10 = Very comfortable,N/A,Same wording is used as the intake comfort item. Paired pre/post measure.
